epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,310.199,0.6746,0.82185,0.27143,0.44329,0.88326,0.99443,1,0.99285,0.83717,0.99443,1,0.99285,0.87719,0.66186,0.50369,0.05479,0.36676,0.83085,0.000445756,0.000445756,0.000445756
76,314.099,0.72199,0.83727,0.27436,0.46891,0.89418,0.995,0.99936,0.99345,0.83614,0.995,0.99936,0.99345,0.86245,0.67719,0.54674,0.05458,0.3768,0.83238,0.000429253,0.000429253,0.000429253
77,317.723,0.73197,0.78751,0.27256,0.47471,0.91118,0.98943,1,0.99394,0.83334,0.98943,1,0.99394,0.88306,0.66687,0.49744,0.05526,0.36539,0.83381,0.000412749,0.000412749,0.000412749
78,321.921,0.73818,0.84295,0.26549,0.47581,0.90935,0.99497,1,0.99385,0.83255,0.99497,1,0.99385,0.89619,0.67175,0.4891,0.05445,0.38066,0.83697,0.000396246,0.000396246,0.000396246
79,326.719,0.68639,0.70417,0.24991,0.45728,0.88755,0.99464,1,0.9938,0.83188,0.99464,1,0.9938,0.90208,0.6796,0.4817,0.05258,0.37137,0.83484,0.000379743,0.000379743,0.000379743
80,330.343,0.6874,0.72583,0.24097,0.45004,0.88467,0.99465,1,0.99355,0.83895,0.99465,1,0.99355,0.90216,0.67247,0.47541,0.05158,0.36829,0.83238,0.000363239,0.000363239,0.000363239
81,333.963,0.71572,0.80246,0.26483,0.46968,0.88832,0.99453,1,0.99305,0.83798,0.99453,1,0.99305,0.89321,0.66454,0.49489,0.05116,0.36722,0.83119,0.000346736,0.000346736,0.000346736
82,339.066,0.68298,0.70481,0.25721,0.45064,0.88816,0.9944,1,0.99275,0.84138,0.9944,1,0.99275,0.8973,0.64346,0.47907,0.0491,0.35566,0.8308,0.000330233,0.000330233,0.000330233
83,343.128,0.69242,0.78132,0.27299,0.45549,0.89359,0.99491,1,0.9928,0.83685,0.99491,1,0.9928,0.89382,0.65123,0.47765,0.04986,0.3522,0.83187,0.000313729,0.000313729,0.000313729
84,346.685,0.67939,0.73886,0.25869,0.44689,0.89657,0.99499,0.99812,0.993,0.84295,0.99499,0.99812,0.993,0.89108,0.66174,0.49172,0.04936,0.35695,0.83311,0.000297226,0.000297226,0.000297226
85,351.543,0.69708,0.74864,0.27241,0.4487,0.89531,0.99499,0.99818,0.99305,0.84238,0.99499,0.99818,0.99305,0.903,0.64704,0.47329,0.04914,0.35056,0.83101,0.000280723,0.000280723,0.000280723
86,355.262,0.69673,0.77398,0.27161,0.44417,0.89193,0.99477,1,0.99325,0.84387,0.99477,1,0.99325,0.90391,0.65128,0.48024,0.04905,0.34779,0.82979,0.00026422,0.00026422,0.00026422
87,358.838,0.72186,0.74047,0.24786,0.45946,0.89553,0.9918,1,0.9934,0.84179,0.9918,1,0.9934,0.90564,0.64829,0.46765,0.04916,0.34823,0.83004,0.000247716,0.000247716,0.000247716
88,362.48,0.66358,0.72253,0.25121,0.44028,0.88078,0.99232,1,0.9936,0.84323,0.99232,1,0.9936,0.90378,0.65066,0.46569,0.05046,0.35213,0.83096,0.000231213,0.000231213,0.000231213
89,367.703,0.68287,0.74692,0.27558,0.44951,0.89167,0.99291,1,0.99375,0.84851,0.99291,1,0.99375,0.90029,0.63719,0.46959,0.04944,0.3472,0.83018,0.00021471,0.00021471,0.00021471
90,371.458,0.65352,0.71306,0.25574,0.42989,0.88043,0.99464,1,0.99355,0.85264,0.99464,1,0.99355,0.90925,0.62629,0.46407,0.04837,0.3355,0.82841,0.000198206,0.000198206,0.000198206
91,378.465,0.61662,0.62781,0.1519,0.3908,0.87229,0.99468,1,0.9935,0.8541,0.99468,1,0.9935,0.9019,0.62448,0.46345,0.04763,0.33466,0.82658,0.000181703,0.000181703,0.000181703
92,382.741,0.60264,0.55511,0.15841,0.38995,0.8655,0.99472,1,0.99365,0.84789,0.99472,1,0.99365,0.89431,0.63352,0.47163,0.04661,0.33726,0.82659,0.0001652,0.0001652,0.0001652
93,386.266,0.59835,0.57009,0.135,0.37954,0.85573,0.99475,1,0.9938,0.84294,0.99475,1,0.9938,0.88537,0.63809,0.48081,0.04539,0.34032,0.82634,0.000148696,0.000148696,0.000148696
94,389.688,0.60042,0.60842,0.16321,0.38476,0.87245,0.99477,1,0.99355,0.84594,0.99477,1,0.99355,0.9011,0.6363,0.45366,0.04511,0.33833,0.82671,0.000132193,0.000132193,0.000132193
95,394.848,0.61802,0.55849,0.15732,0.39124,0.87567,0.99476,1,0.9934,0.84833,0.99476,1,0.9934,0.8987,0.63739,0.45103,0.04498,0.33908,0.8279,0.00011569,0.00011569,0.00011569
96,398.278,0.59606,0.57251,0.12656,0.38071,0.86084,0.99477,1,0.99325,0.85024,0.99477,1,0.99325,0.89462,0.63781,0.45562,0.04399,0.33815,0.82891,9.91865e-05,9.91865e-05,9.91865e-05
97,401.868,0.59594,0.55133,0.16527,0.38377,0.8642,0.99477,1,0.9933,0.84884,0.99477,1,0.9933,0.89729,0.63608,0.45395,0.04316,0.33298,0.8286,8.26832e-05,8.26832e-05,8.26832e-05
98,406.082,0.60752,0.56295,0.14757,0.38347,0.87303,0.99473,1,0.99325,0.85186,0.99473,1,0.99325,0.90017,0.63586,0.44741,0.04238,0.33421,0.82786,6.61799e-05,6.61799e-05,6.61799e-05
99,410.179,0.58955,0.52384,0.1333,0.37012,0.85852,0.99472,1,0.9932,0.84885,0.99472,1,0.9932,0.89991,0.63561,0.44839,0.04237,0.33403,0.8274,4.96766e-05,4.96766e-05,4.96766e-05
100,413.623,0.57971,0.5289,0.1567,0.36742,0.8609,0.9947,1,0.99305,0.84933,0.9947,1,0.99305,0.89922,0.63644,0.44713,0.04219,0.33376,0.82761,3.31733e-05,3.31733e-05,3.31733e-05
